,Node,Degree,In degree nodes,Out degree nodes,Betweenness centrality,Local reaching centrality,Label
68,1217802002027660884953098701453035691707860350981,5,2,3,0.0030678466076696164,0.004968723195045922,moisture > 87.84
69,1333219697471816788031688559363630137582736901080,2,1,1,7.866273352999017e-05,0.0004517021086405383,moisture > 88.78
70,688009881189776860885492402720533814068979872590,2,1,1,3.9331366764995083e-05,0.0009034042172810766,moisture <= 88.78
71,1220406208029421398891215352067484920853928295930,4,1,3,0.017620452310717797,3.6193538606929487,Pheno > 0.62
72,521164696962937281396579031203820241964944508334,6,2,4,0.017227138643067845,3.058276980009963,Tit Acid <= 0.24
73,1225024790285814687889763212275675076256066146102,2,1,1,0.00011799410029498524,0.0004517021086405383,moisture <= 88.04
74,478988701995746220836729620311416045687869066757,7,3,4,0.03365781710914454,2.824583804997884,Pheno <= 0.8
75,937787711282178832864130665432839185535877783171,7,3,4,0.00495575221238938,0.009034042172810767,Pheno > 0.8
76,1233198855909382054836554163560023233305861086389,4,1,3,0.032271386430678464,2.1167190188621556,Pheno <= 0.62
77,642112573656807165703313015619896940450767607790,8,3,5,0.01376597836774828,2.507790320194037,Tit Acid <= 0.18
78,999449005863449650043698603557860460414697697202,8,3,5,0.06688298918387414,2.4811232095303035,Tit Acid > 0.18
79,14019385422964220106431955229528509600988724262,11,4,7,0.04942641756801048,2.0142850879336907,Tit Acid <= 0.13
80,947349482492510815730367502829189066919667400905,8,4,4,0.04965585054080629,1.861412332907314,Tit Acid > 0.13
81,1237768951997144473834154670164614157341606161958,2,1,1,0.0,0.004517021086405383,moisture > 87.66
82,1237929490392718556791145078841139784211144198794,9,4,5,0.03113077679449361,1.8493771867380382,Tit Acid <= 0.15
83,522873472964201129250458866849716223113042415957,3,1,2,0.014965585054080629,2.008456452329731,moisture <= 89.81
84,1240466776276824222017031893427282886635574916775,6,2,4,0.038898721730580135,1.6668195934712533,pH > 4.99
85,1350391265422783703599338866183580972591905410299,2,1,1,0.0,0.0013551063259216148,moisture <= 87.12
86,483521324189472157760032913504717226978232212120,2,1,1,9.832841691248771e-05,0.0004517021086405383,moisture > 87.12
87,124210201951521362978433460778195822768531021450,2,1,1,1.9665683382497542e-05,0.0013551063259216148,Pheno > 0.75
88,1250059311300753794030521829379652543833568345626,3,1,2,0.00896755162241888,0.013249928520122457,moisture > 86.35
89,402551501852144362591499086205357905265844403402,3,1,2,0.006116027531956735,0.005269857934139613,Pheno > 0.74
90,850680869277507842791030455333102941280107573886,2,1,1,0.0,0.0022585105432026916,Pheno <= 0.74
91,532713744300870815677350821848934444001877176071,7,3,4,0.030868567682726975,1.8864931902606006,Pheno > 0.69
92,692974179782182730962353172046240081223686466110,4,3,1,0.0002753195673549656,0.0027102126518432296,Pheno <= 0.69
93,1267223687777369789844656014428253412555264842238,2,0,2,0.0,3.2496378031427517,Brix > 11.03
94,1450476829875396438424828153392846571565048083844,3,1,2,0.004326450344149459,3.0505338035895675,pH > 4.21
95,305375912038333805752515593852256379678918604245,2,1,1,1.9665683382497542e-05,0.006323829520967536,pH <= 4.21
96,1268506014654445549021678142540716813522721295938,2,1,1,0.00011799410029498524,0.0004517021086405383,moisture > 73.5
97,521715610441294927518937479846970148498395371549,5,2,3,0.005948869223205506,0.027930247050939952,Brix <= 11.43
98,985159174247860258406427835362282688395764253852,4,2,2,1.9665683382497542e-05,0.0036136168691243064,Brix > 11.43
99,1276652225189126286803484037803337464902497064563,5,2,3,0.003205506391347099,0.003161914760483768,Brix <= 8.9
100,1401224623284831405418148142254403173729462867479,2,1,1,0.0,0.0013551063259216148,moisture > 88.04
101,1276810453078600040270949478387573991456066005105,3,2,1,1.9665683382497542e-05,0.005420425303686459,Pheno <= 0.66
102,596499728078599072988654454424180549206663945954,3,1,2,0.01311701081612586,1.7317976324637037,moisture <= 87.02
103,129704127352994401699893847168374652078269544461,2,0,2,0.0,3.670086558151565,Pheno > 0.56
104,1308425805814366873910502507832070611603025885708,6,2,4,0.012763028515240905,1.9411591656820968,pH <= 5.17
105,227367995596712800920562994603144313835373533341,11,4,7,0.03284169124877089,1.3028248287486632,Tit Acid > 0.15
106,28125022736064914567959995496975776029608762290,6,3,3,0.028869223205506393,1.6353866814825841,moisture > 88.53
107,881150987650182980348089052019840262082136192240,9,3,6,0.04956735496558506,2.0312690182774715,moisture <= 88.53
108,1314331802978425843698051881164280856494209548044,3,1,2,0.0,0.04080375714719529,Brix <= 10.65
109,1441655350341890941614520753917652373824477167080,9,4,5,0.004975417895771878,0.011292552716013456,Tit Acid <= 0.16
110,1317131137490315402024263102743181549566993569198,3,2,1,0.0,0.005420425303686459,Brix <= 10.68
111,1330305355836427141310510120453409936363787527595,3,1,2,0.048515240904621434,3.1058275516835656,pH <= 4.31
112,1332817049989096526625739202212078353018225607016,2,1,1,3.9331366764995083e-05,0.0004517021086405383,moisture <= 84.66
113,1334397803982614334162389130667683854243451195325,3,1,2,0.032055063913470995,2.082042848505251,moisture <= 87.28
114,1351945955060965088498220515028432149719863926292,12,7,5,0.009400196656833825,0.03523276447396199,Tit Acid <= 0.11
115,227433626263115702977273694017012744327541066228,22,7,15,0.13244837758112094,1.9194079116684706,Tit Acid > 0.11
116,1351790565781538588069137276152767980617598773955,3,1,2,0.007964601769911504,1.9651794431304368,moisture > 85.23
117,624005623655726474188392415263575322370572793900,5,2,3,0.003048180924287119,0.00813063795552969,Pheno <= 0.72
118,1747132756190080726694698293394103700627759963,2,1,1,0.0,0.0018068084345621532,Brix > 9.93
119,176674819211903920805174053136212153900221587233,2,1,1,5.899705014749262e-05,0.0009034042172810766,Brix <= 9.93
120,556056145676242252196935790480711865714256718197,3,1,2,0.00344149459193707,0.0018068084345621532,moisture <= 84.99
121,609655441806685391040905382276868544877293772511,2,1,1,0.0,0.004517021086405383,moisture > 84.99
122,1359621009229284716935205666829144925176447621033,2,1,1,0.0,0.0027102126518432296,pH <= 5.26
123,1365155039725429132679548442176646454137333102322,3,1,2,0.003205506391347099,0.043438686114265095,moisture <= 86.35
124,469361508389853439729697629011115598507104148813,3,1,2,0.0004523107177974435,0.02642457335547149,Pheno <= 0.75
125,1372376111315669287850628471356060458106754933825,2,1,1,1.9665683382497542e-05,0.0004517021086405383,Brix <= 10.22
126,137287800202512868294706791040107241621141460475,2,1,1,0.0009636184857423795,0.0009034042172810766,Tit Acid > 0.3
127,1379336804504195168527439016680973129436620664677,3,1,2,0.003048180924287119,0.009937446390091843,pH <= 4.03
128,859937142169726300085497970880016369278523345795,2,1,1,1.9665683382497542e-05,0.004065318977764845,Brix > 11.05
129,928509115978080756874805192981247263366374112929,2,1,1,3.9331366764995083e-05,0.0009034042172810766,Brix <= 11.05
